,Rk,Player,Class,Season,Pos,School,Conf,G,MP,MP.1,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,PProd,ORtg,DRtg,OWS,DWS,WS,OBPM,DBPM,BPM
99,9992,Alex Fountain,SR,2016-17,F,Houston Baptist,Southland,31,587,18.9,2.5,5.4,1.8,3.5,0.7,1.9,1.5,2.0,0.8,1.6,2.4,1.3,0.4,0.3,0.9,2.1,7.3,15.3,.573,.539,4.6,9.7,7.1,12.3,1.0,1.6,12.0,17.8,217,119.5,110.7,1.3,0.4,1.7,0.6,-2.4,-1.8
100,9993,Montae Glenn,SO,2016-17,F,Georgia Southern,Sun Belt,33,618,18.7,2.2,3.7,2.2,3.7,0.0,0.0,1.0,1.8,2.8,2.1,4.9,0.2,0.3,0.5,0.9,2.5,5.4,16.4,.592,.595,16.0,12.3,14.2,1.6,1.0,3.2,16.7,14.5,206,119.7,106.3,1.3,0.6,2.0,-0.8,-1.0,-1.8
101,9994,George Goode,SR,2011-12,F,Fairleigh Dickinson,NEC,29,895,30.9,5.1,10.4,5.1,10.2,0.0,0.2,2.6,3.7,2.0,5.4,7.4,1.6,0.4,1.4,1.7,3.0,12.8,19.7,.524,.490,7.2,22.4,14.4,12.6,0.9,4.9,12.4,22.9,354,105.1,105.8,1.6,0.7,2.3,-1.4,-0.4,-1.8
102,9995,Dayon Goodman,SO,2015-16,F,Utah Valley,WAC,30,515,17.2,2.3,3.8,2.3,3.7,0.0,0.1,1.7,2.5,1.4,2.3,3.8,0.5,0.4,0.5,0.9,2.5,6.3,16.4,.630,.605,8.9,14.1,11.5,5.7,1.1,2.5,15.7,16.5,186,118.3,105.6,1.1,0.6,1.7,-1.2,-0.6,-1.8
103,9996,Adam Grant,FR,2016-17,G,Bryant,NEC,32,1142,35.7,4.8,11.8,2.9,6.3,1.8,5.5,2.1,2.7,1.1,2.8,3.8,2.6,1.4,0.2,2.1,2.3,13.4,13.7,.514,.481,3.3,8.9,6.1,14.2,2.2,0.6,13.8,21.1,414,103.0,110.8,1.3,0.7,2.0,0.2,-2.0,-1.8
104,9997,Johnathan Gray,SR,2012-13,G,Cornell,Ivy,25,621,24.8,3.4,8.3,1.4,2.9,2.0,5.4,1.2,2.0,0.8,2.3,3.1,1.0,0.5,0.3,1.5,1.5,10.0,14.9,.543,.531,3.5,13.1,7.8,8.9,1.2,1.3,13.8,22.4,223,102.8,109.4,0.9,0.3,1.2,1.7,-3.5,-1.8
105,9998,Kendall Gray,SO,2012-13,C,Delaware State,MEAC,29,682,23.5,2.0,4.2,2.0,4.2,0.0,0.0,1.4,2.3,1.3,2.2,3.5,0.4,0.3,2.6,1.4,2.7,5.5,13.7,.517,.480,6.6,13.1,9.6,3.7,0.8,11.7,20.5,15.6,156,95.0,101.6,0.3,0.8,1.1,-4.7,2.9,-1.8
106,9999,Derrio Green,SR,2011-12,G,Charlotte,A-10,25,471,18.8,2.0,6.3,0.8,2.5,1.2,3.8,1.2,1.7,0.2,1.1,1.3,1.8,1.0,0.1,1.4,1.0,6.5,11.7,.454,.415,1.4,7.1,4.1,20.0,3.1,0.7,16.0,22.6,160,91.4,103.2,0.1,0.5,0.6,-0.7,-1.2,-1.8
107,10000,Zach Green,SO,2015-16,G,Montana State,Big Sky,31,776,25.0,3.2,6.7,2.7,5.2,0.4,1.5,1.7,2.9,2.3,3.3,5.5,1.5,0.5,0.1,1.2,2.5,8.5,15.3,.520,.500,9.4,15.5,12.3,10.7,1.1,0.3,13.1,18.1,279,112.1,112.4,1.4,0.4,1.8,0.0,-1.8,-1.8
0,10001,Phil Greene,FR,2011-12,G,St. John's (NY),Big East,32,1006,31.4,3.1,8.6,2.4,6.2,0.6,2.4,0.8,1.1,0.8,1.8,2.6,3.0,1.3,0.2,1.8,2.0,7.6,9.6,.413,.391,2.9,7.2,4.9,19.2,2.4,0.5,16.3,17.4,262,89.9,111.1,0.1,0.3,0.4,-1.1,-0.7,-1.8
