Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,All_Rookie,G,MP,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
2010,NBA,1,29,ORL,Daniel Orton,19.327,C-F,us,University of Kentucky,2012,2014,,51,10.6,2.8,2.5,0.5,0.4,0.5,0.485,0.49,0,0.597,1,0.093
2012,NBA,1,13,PHO,Kendall Marshall,20.319,G,us,Univ. of North Carolina,2013,2016,,160,19.3,5,1.6,4.9,0.7,0.1,0.399,0.422,0.37,0.611,1,0.015
2013,NBA,2,38,WAS,Nate Wolters,22.049,G,us,South Dakota State University,2014,2015,,79,19.7,5.8,2.3,2.6,0.5,0.2,0.426,0.456,0.261,0.635,1,0.03
2014,NBA,1,12,ORL,Dario Saric,20.084,F,hr,,2017,2017,,81,26.3,12.8,6.3,2.2,0.7,0.4,0.411,0.469,0.311,0.782,1,0.023
2015,NBA,1,8,DET,Stanley Johnson,19.031,F,us,University of Arizona,2016,2017,,150,20.4,6.2,3.3,1.5,0.7,0.2,0.367,0.406,0.301,0.748,1,0.016
2015,NBA,1,14,OKC,Cameron Payne,20.326,G,us,Murray State University,2016,2017,,88,13.2,5,1.5,1.9,0.6,0.1,0.378,0.42,0.32,0.75,1,0.042
2010,NBA,2,52,BOS,Luke Harangody,22.179,F,us,University of Notre Dame,2011,2012,,70,12.4,3.6,2.8,0.5,0.3,0.3,0.376,0.44,0.241,0.737,0.9,0.048
2014,NBA,1,26,MIA,P.J. Hairston,21.189,G-F,us,Univ. of North Carolina,2015,2016,,111,18,6,2.4,0.5,0.5,0.2,0.343,0.414,0.295,0.81,0.9,0.021
2014,NBA,2,33,CLE,Joe Harris,22.298,G,us,University of Virginia,2015,2017,,108,15.2,5.3,1.8,0.8,0.3,0.1,0.418,0.486,0.379,0.688,0.9,0.027
2014,NBA,2,60,SAS,Cory Jefferson,23.188,F,us,Baylor University,2015,2016,,58,10,3.5,2.8,0.3,0.2,0.4,0.444,0.474,0.125,0.583,0.9,0.071
2010,NBA,1,12,MEM,Xavier Henry,19.106,G,be,University of Kansas,2011,2015,,185,15.7,5.7,1.9,0.6,0.5,0.1,0.406,0.419,0.325,0.635,0.8,0.013
2013,NBA,1,19,CLE,Sergey Karasev,19.249,G-F,ru,,2014,2016,,95,11.7,3,1.5,0.9,0.3,0,0.395,0.489,0.282,0.842,0.8,0.036
2016,NBA,1,24,PHI,Timothe Luwawu,21.051,F,fr,,2017,2017,,69,17.2,6.4,2.1,1.1,0.5,0.1,0.402,0.475,0.311,0.854,0.8,0.034
2010,NBA,1,22,POR,Elliot Williams,21.009,G,us,University of Memphis,2012,2016,,109,13.5,4.9,1.5,0.9,0.4,0.1,0.421,0.489,0.31,0.669,0.7,0.024
2010,NBA,2,41,MIA,Jarvis Varnado,22.12,F,us,Mississippi State University,2013,2014,,37,10.7,2.9,1.9,0.4,0.3,0.8,0.582,0.582,,0.518,0.7,0.089
2014,NBA,1,17,BOS,James Young,18.319,G-F,us,University of Kentucky,2015,2017,,89,8.4,2.3,1.1,0.3,0.3,0.1,0.367,0.536,0.276,0.548,0.7,0.047
2016,NBA,1,11,ORL,Domantas Sabonis,20.056,F,us,Gonzaga University,2017,2017,,81,20.1,5.9,3.6,1,0.5,0.4,0.399,0.438,0.321,0.657,0.7,0.022
2016,NBA,2,34,PHO,Tyler Ulis,20.175,G,us,University of Kentucky,2017,2017,,61,18.4,7.3,1.6,3.7,0.8,0.1,0.421,0.455,0.266,0.775,0.7,0.029
2009,NBA,1,24,DAL,Byron Mullens,20.136,C,us,Ohio State University,2010,2014,,189,18.2,7.4,4.2,0.8,0.4,0.5,0.408,0.438,0.319,0.706,0.6,0.008
2012,NBA,2,32,WAS,Tomas Satoransky,20.247,G,cz,,2017,2017,,57,12.6,2.7,1.5,1.6,0.5,0.1,0.418,0.477,0.243,0.697,0.6,0.04
2014,NBA,2,35,UTA,Jarnell Stokes,20.175,F-C,us,University of Tennessee,2015,2017,,28,5.4,2.4,1.4,0.3,0.3,0.2,0.581,0.581,,0.531,0.6,0.202
2016,NBA,1,14,CHI,Denzel Valentine,22.225,G,us,Michigan State University,2017,2017,,57,17.1,5.1,2.6,1.1,0.5,0.1,0.354,0.363,0.351,0.778,0.6,0.031
2010,NBA,2,32,MIA,Dexter Pittman,22.119,C,us,University of Texas at Austin,2011,2014,,50,6.9,2.3,1.8,0.2,0.2,0.2,0.45,0.45,,0.545,0.5,0.068
2010,NBA,2,43,LAL,Devin Ebanks,20.244,F,us,West Virginia University,2011,2013,,63,11.3,3.6,1.9,0.4,0.3,0.2,0.385,0.418,0.222,0.722,0.5,0.035
2011,NBA,2,44,GSW,Charles Jenkins,22.12,G,us,Hofstra University,2012,2013,,110,12.1,3.7,0.9,1.9,0.4,0.1,0.434,0.449,0.182,0.754,0.5,0.017
2011,NBA,2,52,DET,Vernon Macklin,24.282,F,us,University of Florida,2012,2012,,23,5.9,2,1.5,0.2,0.2,0.2,0.543,0.543,,0.571,0.5,0.161
2013,NBA,1,1,CLE,Anthony Bennett,20.11,F,ca,"University of Nevada, Las Vegas",2014,2017,,151,12.6,4.4,3.1,0.5,0.4,0.2,0.392,0.427,0.261,0.67,0.5,0.013
2014,NBA,1,18,PHO,Tyler Ennis,19.311,G,ca,Syracuse University,2015,2017,,132,12.5,4.2,1.2,1.9,0.5,0.1,0.419,0.45,0.342,0.773,0.5,0.014
2014,NBA,2,58,SAS,Jordan McRae,23.096,G,us,University of Tennessee,2016,2017,,59,9.8,4.4,1,0.7,0.2,0.1,0.404,0.413,0.384,0.774,0.5,0.043
2015,NBA,2,36,MIN,Rakeem Christmas,23.212,F,us,Syracuse University,2016,2017,,30,7.5,2.1,1.9,0.1,0.1,0.2,0.467,0.467,,0.741,0.5,0.104
2016,NBA,2,31,BOS,Deyonta Davis,19.208,F-C,us,Michigan State University,2017,2017,,36,6.6,1.6,1.7,0.1,0.1,0.5,0.511,0.511,,0.556,0.5,0.097
2016,NBA,2,33,LAC,Cheick Diallo,19.288,F,ml,University of Kansas,2017,2017,,17,11.7,5.1,4.3,0.2,0.2,0.4,0.474,0.474,,0.714,0.5,0.111
2016,NBA,2,48,CHI,Paul Zipser,22.131,G-F,de,,2017,2017,,44,19.2,5.5,2.8,0.8,0.3,0.4,0.398,0.451,0.333,0.775,0.5,0.03
2011,NBA,2,43,CHI,Malcolm Lee,21.037,G,us,"University of California, Los Angeles",2012,2015,,36,14.8,3.9,1.8,1.4,0.6,0.3,0.382,0.412,0.294,0.703,0.4,0.04
2014,NBA,1,22,MEM,Jordan Adams,19.358,G,us,"University of California, Los Angeles",2015,2016,,32,8.2,3.2,0.9,0.6,0.6,0.2,0.402,0.409,0.385,0.607,0.4,0.07
2015,NBA,1,29,BRK,Chris McCullough,20.145,F,us,Syracuse University,2016,2017,,40,11.1,3.7,2.2,0.3,0.8,0.4,0.426,0.46,0.341,0.5,0.4,0.049
2015,NBA,2,41,BRK,Pat Connaughton,22.175,G,us,University of Notre Dame,2016,2017,,73,6.3,1.8,1.2,0.5,0.1,0,0.413,0.418,0.407,0.857,0.4,0.039
2016,NBA,1,13,PHO,Georgios Papagiannis,18.36,C,gr,,2017,2017,,22,16.1,5.6,3.9,0.9,0.1,0.8,0.549,0.56,0,0.857,0.4,0.058
2010,NBA,1,25,MEM,Dominique Jones,21.257,G,us,University of South Florida,2011,2013,,80,9.3,3.1,1.4,1.8,0.4,0.1,0.366,0.393,0.095,0.729,0.3,0.017
2010,NBA,2,58,LAL,Derrick Caracter,22.056,F,us,University of Texas at El Paso,2011,2011,,41,5.2,2,1,0.2,0.1,0.2,0.485,0.485,,0.739,0.3,0.057
2011,NBA,2,39,CHA,Jeremy Tyler,20.007,C,us,,2012,2014,,104,9.9,3.6,2.6,0.2,0.2,0.4,0.45,0.451,0,0.557,0.3,0.014
2012,NBA,2,48,NYK,Kostas Papanikolaou,21.338,F,gr,,2015,2016,,69,15.8,3.6,2.3,1.5,0.6,0.3,0.354,0.416,0.297,0.688,0.3,0.015
2015,NBA,1,28,BOS,R.J. Hunter,21.249,G,us,Georgia State University,2016,2017,,39,8.3,2.5,1,0.3,0.4,0.1,0.364,0.486,0.297,0.857,0.3,0.041
2015,NBA,2,38,DET,Darrun Hilliard,22.078,G,us,Villanova University,2016,2017,,77,9.9,3.6,1,0.8,0.3,0,0.385,0.422,0.323,0.735,0.3,0.02
2016,NBA,1,21,ATL,DeAndre Bembry,21.36,F,us,Saint Joseph's University,2017,2017,,38,9.8,2.7,1.6,0.8,0.2,0.1,0.48,0.575,0.056,0.375,0.3,0.04
2009,NBA,1,22,POR,Victor Claver,20.304,F,es,,2013,2015,,80,13.4,3.2,2.2,0.7,0.4,0.2,0.398,0.489,0.293,0.585,0.2,0.011
2009,NBA,2,32,WAS,Jermaine Taylor,22.205,G,us,University of Central Florida,2010,2011,,65,12.1,5.4,1.7,0.7,0.4,0.1,0.441,0.484,0.284,0.73,0.2,0.014
2009,NBA,2,58,BOS,Lester Hudson,24.328,G,us,University of Tennessee at Martin,2010,2015,,57,10.4,4.7,1.4,1.2,0.6,0.1,0.375,0.441,0.277,0.806,0.2,0.016
2010,NBA,1,30,WAS,Lazar Hayward,23.216,F,us,Marquette University,2011,2013,,72,8.2,2.9,1.3,0.5,0.2,0.1,0.347,0.395,0.269,0.767,0.2,0.02
2010,NBA,2,54,LAC,Willie Warren,20.25,G,us,University of Oklahoma,2011,2011,,19,7.1,1.9,0.6,1.4,0.3,0,0.371,0.4,0.333,0.75,0.2,0.065
2011,NBA,1,27,NJN,JaJuan Johnson,22.14,F-C,us,Purdue University,2012,2012,,36,8.3,3.2,1.6,0.2,0.1,0.4,0.446,0.446,,0.667,0.2,0.032
2012,NBA,1,24,CLE,Jared Cunningham,21.043,G,us,Oregon State University,2013,2016,,84,7.2,2.3,0.7,0.5,0.3,0,0.347,0.369,0.306,0.674,0.2,0.017
2012,NBA,2,44,DET,Kim English,23.283,G,us,University of Missouri,2013,2013,,41,9.9,2.9,0.9,0.6,0.4,0.1,0.375,0.452,0.28,0.724,0.2,0.021
2012,NBA,2,52,GSW,Ognjen Kuzmic,22.049,C,ba,,2014,2015,,37,4.4,0.9,1,0.2,0.1,0.1,0.52,0.52,,0.6,0.2,0.061
2013,NBA,2,37,DET,Tony Mitchell,21.086,F,us,University of North Texas,2014,2014,,21,3.8,1,1.2,0.1,0.3,0.1,0.417,0.364,1,0.579,0.2,0.151
2014,NBA,1,29,OKC,Josh Huestis,22.195,F,us,Stanford University,2016,2017,,7,12.3,4,2.7,0.4,0.1,0.9,0.478,0.385,0.6,0,0.2,0.106
2014,NBA,2,43,ATL,Walter Tavares,22.101,C,cv,,2016,2017,,13,7.8,2.5,2.5,0.3,0.1,0.9,0.625,0.625,,0.273,0.2,0.118
2015,NBA,1,5,ORL,Mario Hezonja,20.125,F-G,hr,,2016,2017,,144,16.5,5.5,2.2,1.2,0.5,0.2,0.399,0.457,0.327,0.856,0.2,0.004
2015,NBA,2,33,BOS,Jordan Mickey,20.356,F,us,Louisiana State University,2016,2017,,41,4.8,1.4,1.1,0.2,0.1,0.4,0.411,0.418,0,0.542,0.2,0.045
2016,NBA,1,19,DEN,Malik Beasley,19.214,G,us,Florida State University,2017,2017,,22,7.5,3.8,0.8,0.5,0.3,0,0.452,0.533,0.321,0.8,0.2,0.057
2016,NBA,2,52,UTA,Joel Bolomboy,22.152,F,ua,Weber State University,2017,2017,,12,4.4,1.8,1.4,0.2,0.1,0.2,0.563,0.667,0.25,0.5,0.2,0.171
2010,NBA,2,57,IND,Ryan Reid,23.243,F,us,Florida State University,2012,2012,,5,3.4,1.6,0.4,0,0,0,0.8,0.8,,,0.1,0.142
2011,NBA,2,47,LAC,Travis Leslie,21.091,G,us,University of Georgia,2012,2012,,10,4.5,1.4,0.9,0.5,0.2,0.2,0.357,0.357,,0.444,0.1,0.06
2012,NBA,2,42,MIL,Doron Lamb,20.24,G,us,University of Kentucky,2013,2014,,100,12.7,3.5,1,0.8,0.2,0,0.381,0.372,0.394,0.7,0.1,0.005
2013,NBA,2,46,UTA,Erick Green,22.055,G,us,Virginia Tech,2015,2016,,52,8.7,3.1,0.7,0.8,0.3,0,0.377,0.415,0.288,0.857,0.1,0.011
2014,NBA,1,28,LAC,C.J. Wilcox,23.184,G,us,University of Washington,2015,2017,,66,5.7,2,0.5,0.5,0.2,0.1,0.37,0.397,0.333,0.813,0.1,0.007
2014,NBA,2,48,MIL,Lamar Patterson,22.324,G-F,us,University of Pittsburgh,2016,2017,,40,10.9,2.3,1.4,1.1,0.3,0.1,0.326,0.45,0.236,0.72,0.1,0.006
2014,NBA,2,55,MIA,Semaj Christon,21.242,G,us,Xavier University,2017,2017,,64,15.2,2.9,1.4,2,0.4,0.1,0.345,0.406,0.19,0.548,0.1,0.006
2016,NBA,1,5,MIN,Kris Dunn,22.103,G,us,Providence College,2017,2017,,78,17.1,3.8,2.1,2.4,1,0.5,0.377,0.404,0.288,0.61,0.1,0.004
2016,NBA,1,22,CHO,Malachi Richardson,20.175,G,us,Syracuse University,2017,2017,,22,9,3.6,1,0.5,0.2,0,0.412,0.5,0.286,0.789,0.1,0.028
2016,NBA,2,37,HOU,Chinanu Onuaku,19.239,F-C,us,University of Louisville,2017,2017,,5,10.4,2.8,2,0.6,0.6,0.2,0.714,0.714,,1,0.1,0.123
2016,NBA,2,45,BOS,Demetrius Jackson,21.295,G,us,University of Notre Dame,2017,2017,,5,3.4,2,0.8,0.6,0,0,0.75,0.667,1,0.5,0.1,0.386
2009,NBA,2,48,PHO,Taylor Griffin,23.074,F,us,University of Oklahoma,2010,2010,,8,4,1.3,0.3,0.1,0,0.3,0.4,0.5,0,0.5,0,-0.039
2010,NBA,1,24,ATL,Damion James,22.266,G-F,us,University of Texas at Austin,2011,2014,,39,16,3.8,3.4,0.7,0.6,0.5,0.415,0.433,0,0.667,0,-0.001
2010,NBA,2,46,PHO,Gani Lawal,21.234,F,us,Georgia Institute of Technology,2011,2011,,1,2,0,0,0,0,0,,,,,0,-0.009
